"Time Stamp","Year","Make","Model","Model Series","Exterior Color","Interior Color","Grade","Vda","Mileage","Buy Now Price","VIN","Due Location Name","City","State","Zip","Early Access Est Available On"
"12/18/2024 12:31:58 AM","2021","FORD","EDGE","TITANIUM","WHI","GRA","","4033.00","57679","0.00","2FMPK4K93MBA10470","AUCTION IAA CULPEPER","","","33607","11/01/2023"
"12/18/2024 12:31:58 AM","2021","NISSAN","KICKS","S","WHI","BLA","","6308.00","61566","0.00","3N1CP5BV3ML464359","AUCTION Manheim PA - F","Manheim","PA","17545","08/01/2024"
"12/18/2024 12:31:58 AM","2020","HYUNDAI","ELANTRA","VALUE EDITION","WHI","BLA","","0.00","65554","0.00","5NPD84LF6LH588737","AUCTION Adesa Washington DC - W","Sterling","VA","20166","04/01/2024"
"12/18/2024 12:31:58 AM","2020","KIA","SOUL","S","GRA","BLACK","","2443.00","59265","0.00","KNDJ23AU3L7059864","AUCTION Manheim New Jersey - W","Bordentown ","NJ","08505","04/01/2025"
"12/18/2024 12:31:58 AM","2020","TOYOTA","CAMRY","SE","WHI","BLA","","0.00","59850","0.00","4T1G11AKXLU372441","AUCTION Manheim New Orleans - W","Slidell","LA","70460","09/01/2023"
"12/18/2024 12:31:58 AM","2020","TOYOTA","COROLLA","LE","BLU","BLA","","2737.00","115917","0.00","5YFEPRAE7LP077989","AUCTION Manheim Orlando - T","Ocoee ","FL","34761","08/01/2023"
"12/18/2024 12:31:58 AM","2019","CHEVROLET","EQUINOX","LT","RED","BLA","","0.00","56727","0.00","2GNAXKEV2K6136728","AUCTION IAA LONG ISL","","","11746","07/01/2023"
"12/18/2024 12:31:58 AM","2019","CHEVROLET","EQUINOX","LT","WHI","BLA","","0.00","57771","0.00","2GNAXUEVXK6205791","AUCTION Manheim Georgia - T","Atlanta","GA","30331","10/01/2023"
"12/18/2024 12:31:58 AM","2019","NISSAN","ROGUE SPORT","SV","BLA","BLA","","728.00","59765","0.00","JN1BJ1CR0KW311971","AUCTION Manheim New England - T","North Dighton","MA","02764","05/01/2024"
"12/18/2024 12:31:58 AM","2019","NISSAN","SENTRA","S","SIL","BLA","","696.00","106207","0.00","3N1AB7AP7KY311407","AUCTION Manheim New Orleans - W","Slidell","LA","70460","03/01/2023"
"12/18/2024 12:31:58 AM","2019","TOYOTA","CAMRY","LE","SIL","BLA","","1401.00","112961","0.00","4T1B11HK9KU759738","AUCTION Manheim New Orleans - W","Slidell","LA","70460","02/01/2024"
"12/18/2024 10:01:57 PM","2021","FORD","EDGE","TITANIUM","WHI","GRA","","4033.00","57679","0.00","2FMPK4K93MBA10470","AUCTION IAA CULPEPER","","","33607","11/01/2023"
"12/18/2024 10:01:57 PM","2021","NISSAN","KICKS","S","WHI","BLA","","6308.00","61566","0.00","3N1CP5BV3ML464359","AUCTION Manheim PA - F","Manheim","PA","17545","08/01/2024"
"12/18/2024 10:01:57 PM","2020","HYUNDAI","ELANTRA","VALUE EDITION","WHI","BLA","","0.00","65554","0.00","5NPD84LF6LH588737","AUCTION Adesa Washington DC - W","Sterling","VA","20166","04/01/2024"
"12/18/2024 10:01:57 PM","2020","KIA","SOUL","S","GRA","BLACK","","2443.00","59265","0.00","KNDJ23AU3L7059864","AUCTION Manheim New Jersey - W","Bordentown ","NJ","08505","04/01/2025"
"12/18/2024 10:01:57 PM","2020","TOYOTA","CAMRY","SE","WHI","BLA","","0.00","59850","0.00","4T1G11AKXLU372441","AUCTION Manheim New Orleans - W","Slidell","LA","70460","09/01/2023"
"12/18/2024 10:01:57 PM","2020","TOYOTA","COROLLA","LE","BLU","BLA","","2737.00","115917","0.00","5YFEPRAE7LP077989","AUCTION Manheim Orlando - T","Ocoee ","FL","34761","08/01/2023"
"12/18/2024 10:01:57 PM","2019","CHEVROLET","EQUINOX","LT","RED","BLA","","0.00","56727","0.00","2GNAXKEV2K6136728","AUCTION IAA LONG ISL","","","11746","07/01/2023"
"12/18/2024 10:01:57 PM","2019","CHEVROLET","EQUINOX","LT","WHI","BLA","","0.00","57771","0.00","2GNAXUEVXK6205791","AUCTION Manheim Georgia - T","Atlanta","GA","30331","10/01/2023"
"12/18/2024 10:01:57 PM","2019","NISSAN","ROGUE SPORT","SV","BLA","BLA","","728.00","59765","0.00","JN1BJ1CR0KW311971","AUCTION Manheim New England - T","North Dighton","MA","02764","05/01/2024"
"12/18/2024 10:01:57 PM","2019","NISSAN","SENTRA","S","SIL","BLA","","696.00","106207","0.00","3N1AB7AP7KY311407","AUCTION Manheim New Orleans - W","Slidell","LA","70460","03/01/2023"
"12/18/2024 10:01:57 PM","2019","TOYOTA","CAMRY","LE","SIL","BLA","","1401.00","112961","0.00","4T1B11HK9KU759738","AUCTION Manheim New Orleans - W","Slidell","LA","70460","02/01/2024"
"12/19/2024 12:07:46 AM","2021","FORD","EDGE","TITANIUM","WHI","GRA","","4033.00","57679","0.00","2FMPK4K93MBA10470","AUCTION IAA CULPEPER","","","33607","11/01/2023"
"12/19/2024 12:07:46 AM","2021","NISSAN","KICKS","S","WHI","BLA","","6308.00","61566","0.00","3N1CP5BV3ML464359","AUCTION Manheim PA - F","Manheim","PA","17545","08/01/2024"
"12/19/2024 12:07:46 AM","2020","HYUNDAI","ELANTRA","VALUE EDITION","WHI","BLA","","0.00","65554","0.00","5NPD84LF6LH588737","AUCTION Adesa Washington DC - W","Sterling","VA","20166","04/01/2024"
"12/19/2024 12:07:46 AM","2020","KIA","SOUL","S","GRA","BLACK","","2443.00","59265","0.00","KNDJ23AU3L7059864","AUCTION Manheim New Jersey - W","Bordentown ","NJ","08505","04/01/2025"
"12/19/2024 12:07:46 AM","2020","TOYOTA","CAMRY","SE","WHI","BLA","","0.00","59850","0.00","4T1G11AKXLU372441","AUCTION Manheim New Orleans - W","Slidell","LA","70460","09/01/2023"
"12/19/2024 12:07:46 AM","2020","TOYOTA","COROLLA","LE","BLU","BLA","","2737.00","115917","0.00","5YFEPRAE7LP077989","AUCTION Manheim Orlando - T","Ocoee ","FL","34761","08/01/2023"
"12/19/2024 12:07:46 AM","2019","CHEVROLET","EQUINOX","LT","WHI","BLA","","0.00","57771","0.00","2GNAXUEVXK6205791","AUCTION Manheim Georgia - T","Atlanta","GA","30331","10/01/2023"
"12/19/2024 12:07:46 AM","2019","CHEVROLET","EQUINOX","LT","RED","BLA","","0.00","56727","0.00","2GNAXKEV2K6136728","AUCTION IAA LONG ISL","","","11746","07/01/2023"
"12/19/2024 12:07:46 AM","2019","NISSAN","ROGUE SPORT","SV","BLA","BLA","","728.00","59765","0.00","JN1BJ1CR0KW311971","AUCTION Manheim New England - T","North Dighton","MA","02764","05/01/2024"
"12/19/2024 12:07:46 AM","2019","NISSAN","SENTRA","S","SIL","BLA","","696.00","106207","0.00","3N1AB7AP7KY311407","AUCTION Manheim New Orleans - W","Slidell","LA","70460","03/01/2023"
"12/19/2024 12:07:46 AM","2019","TOYOTA","CAMRY","LE","SIL","BLA","","1401.00","112961","0.00","4T1B11HK9KU759738","AUCTION Manheim New Orleans - W","Slidell","LA","70460","02/01/2024"